0,1,2,3,4,5,6,7,8,9,10,11
70300666,Movie,The Signal,"William Eubank, Will Eubank","Brenton Thwaites, Olivia Cooke, Laurence Fishburne, Beau Knapp, Lin Shaye, Robert Longstreet",United States,,2014-01-01,PG-13,97 min,"Sci-Fi & Fantasy, Thrillers","During their drive across the country, college pals Nick and Jonah – accompanied by Nick's girlfriend – run into major trouble in the Nevada desert."
70105369,Movie,Race to Witch Mountain,Andy Fickman,"Dwayne Johnson, AnnaSophia Robb, Alexander Ludwig, Carla Gugino, Ciarán Hinds, Tom Everett Scott, Chris Marquette, Billy Brown, Christine Lakin, Tom Woodruff Jr., John Kassir, Garry Marshall, John Duff, Ted Hartley, Dave Engfer, Bob Clendenin, Shengyi Huang, Robert Torti, Kim Richards, Brandon Miller, Paul Darnell, Omar Dorsey, Dennis Hayden, Suzanne Krull, Steve Rosenbaum, Andrew Shaifer, Bryan Fogel, Bob Koherr, Sam Wolfson, Beth Kennedy, Corri English, Jonathan Slavin, Kevin Christy, Meredith Salenger",United States,,2009-01-01,PG,99 min,Children & Family Movies,A sister and brother with special powers are on the run from a mysterious organization that wants to take advantage of the siblings' gifts.
81060038,Movie,Swiped,Ann Deborah Fishman,"Kendall Ryan Sanders, Noah Centineo, Nathan Gamble, Kristen Johnston, Leigh-Allyn Baker, Christian Hutcherson, Shelby Wulfert, Steve Daron, Kalani Hilliker, Maddy Curley, George Hamilton",United States,,2018-01-01,TV-14,94 min,Comedies,"When two college roommates develop a groundbreaking hookup app, casual affairs – and complications – soon run rampant on campus."
80093104,Movie,Zipi & Zape y la Isla del Capitan,Oskar Santos,"Teo Planell, Toni Gómez, Elena Anaya, Iria Castellano, Máximo Pastor, Ana Blanco de Córdova, Fermí Reixach, Jorge Bosch, Carolina Lapausa, Goizalde Núñez, Juan Codina",Spain,,2016-01-01,TV-PG,105 min,"Children & Family Movies, Comedies","At Christmas, Zip and Zap take a trip with their parents to a remote island, where a friendly woman runs a children's home and mystery awaits."
81030789,Movie,Lionheart,Genevieve Nnaji,"Genevieve Nnaji, Nkem Owoh, Pete Edochie, Onyeka Onwenu, Kanayo O. Kanayo",Nigeria,,2018-01-01,TV-PG,95 min,"Comedies, Dramas, Independent Movies","When her father falls ill, Adaeze steps up to run the family business – alongside her uncle – and prove herself in a male-dominated world."
80109193,Movie,Holy Camp!,"Javier Ambrossi, Javier Calvo","Macarena García, Anna Castillo, Belén Cuesta, Gracia Olayo, Richard Collins-Moore, Llum Barrera, Secun de la Rosa, María Isabel Díaz, Víctor Elías, Henry Méndez, Esti Quesada",Spain,,2017-01-01,TV-14,108 min,"Comedies, Dramas, Faith & Spirituality","In this musical comedy, two rebellious teen girls who love electronic music have a life-changing brush with the divine at a camp run by nuns."
70142824,Movie,Hop,Tim Hill,"James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria, Gary Cole, Elizabeth Perkins, Hugh Laurie, Tiffany Espensen, David Hasselhoff, Chelsea Handler","United States, India, Malaysia, Taiwan, Canada, United Kingdom",,2011-01-01,PG,95 min,"Children & Family Movies, Comedies",A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.
70131314,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas","United States, United Kingdom",,2010-01-01,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers","In this mind-bending sci-fi thriller, a man runs an espionage business built around entering the subconscious of his targets to mold their thoughts."
70307648,Movie,Trash,Stephen Daldry,"Wagner Moura, Martin Sheen, Rooney Mara, Selton Mello, José Dumont, Nelson Xavier, Eduardo Luis, Gabriel Weinstein, Rickson Tevez","United Kingdom, Brazil, Germany",,2014-01-01,R,114 min,"Dramas, Independent Movies, Thrillers","Three poor Brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right."
80167491,Movie,Happy Hunting,"Joe Dietsch, Louie Gibson","Martin Dingle-Wall, Ken Lally, Kenny Wormald, Connor Williams, Gary Sturm, C.J. Baker, Jeremy Lawson, Liesel Hanson, Kenneth Billings, Michael Tipps",United States,,2017-01-01,TV-MA,91 min,"Horror Movies, Independent Movies","On the run from his meth-dealing employers, a drifter with a drinking problem becomes prey in a desert town's twisted hunting contest."
80202908,Movie,Shahanpan Dega Deva,Sudesh Manjrekar,"Bharat Jadhav, Ankush Chaudhari, Siddarth Jadhav, Santosh Juvekar, Vaibhav Mangale, Kranti Redkar, Manava Naik",India,,2011-01-01,TV-14,115 min,"Comedies, International Movies","At large in the city, five inmates of a mental asylum run up against the insanity of the outside world while trying to prevent a terrorist plot."
70252885,Movie,El último testigo,Philipp Stölzl,"Aaron Eckhart, Liana Liberato, Olga Kurylenko, Garrick Hagon, Eric Godon, Yassine Fadel, Neil Napier, David Bark-Jones, Alexander Fehling, Nick Alachiotis, Jade Hassouné","United States, Canada, Belgium, United Kingdom",,2012-01-01,R,105 min,Action & Adventure,A security expert and ex-CIA agent living in Belgium must go on the run with his estranged teen daughter when they're both marked for assassination.
80992973,Movie,Bert Kreischer: The Machine,Ryan Polito,Bert Kreischer,United States,,2016-01-01,TV-MA,70 min,Stand-Up Comedy,"From his run-in with a grizzly bear to partying with the Russian mafia, the shirtless comic returns with laugh-out-loud tales in this stand-up special."
70109378,Movie,Ugly Aur Pagli,Sachin Kamlakar Khot,"Mallika Sherawat, Ranvir Shorey, Tinnu Anand, Sushmita Mukherjee, Manish Anand, Vihang Nayak, Bharati Achrekar, Zeenat Aman",India,,2008-01-01,TV-14,115 min,"Comedies, International Movies, Romantic Movies","Everyday guy Kabir is thrown for a loop when he meets Kuhu, a freewheeling party girl. Now, he's a changed man, dancing, running half-naked through the streets and donning ladies' shoes at her whim."
80201609,Movie,Premachi Goshta,Satish Rajwade,"Atul Kulkarni, Sagarika Ghatge, Rohini Hattangadi, Sulekha Talvalkar, Meera Welankar, Satish Rajwade",India,,2013-01-01,TV-14,127 min,"International Movies, Romantic Movies","A man and a woman struggling to keep their respective marriages afloat run into each other at a marriage counselor's office, with unexpected results."
80241304,Movie,We the Animals,Jeremiah Zagar,"Evan Rosado, Josiah Gabriel, Isaiah Kristian, Raúl Castillo, Sheila Vand, Giovanni Pacciarelli, Terry Holland, Moe Isaac, Mickey Anthony, Tom Malley",United States,,2018-01-01,R,93 min,"Dramas, Independent Movies","A trio of brothers cope with their parents' volatile relationship by running wild and unchecked, and one of them experiences a visceral awakening."
80124947,Movie,Gun Runners,Anjali Nayar,,Canada,,2015-01-01,TV-PG,90 min,"Documentaries, International Movies, Sports Movies",Two roaming Kenyan bandits attempt to change the course of their lives by exchanging their rifles for running shoes.
80201490,Movie,Dumplin',Anne Fletcher,"Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio, Bex Taylor-Klaus, Luke Benward, Georgie Flores, Dove Cameron, Harold Perrineau, Kathy Najimy, Ginger Minj, Hilliary Begley",United States,,2018-01-01,PG-13,110 min,"Comedies, Dramas, Independent Movies","To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom."
20257617,Movie,Satte Pe Satta,Raj N. Sippy,"Amitabh Bachchan, Hema Malini, Amjad Khan, Sachin, Shakti Kapoor, Ranjeeta Kaur, Paintal, Ranjeet",India,,1982-01-01,TV-14,153 min,"Comedies, Cult Movies, Dramas","The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example."
81034612,Movie,Secrets in the Hot Spring,,"Chang Ting-hu, Hong Yan-xiang, Lin He Xuan, Kuo Shu-yao, Law Kar-Ying, Mimi Chu",Taiwan,,2018-01-01,TV-14,108 min,"Comedies, Horror Movies, International Movies","When three teen outcasts arrive at a hot springs hotel to help run things, creepy incidents prompt comical efforts to find what lurks in their midst."
81029400,Movie,At First Light,Jason Stone,"Stefanie Scott, Theodore Pellerin, Percy Hynes White, Kate Burton, Saïd Taghmaoui, Kristin Booth, James Wotherspoon",Canada,,2018-01-01,TV-14,91 min,"Dramas, Sci-Fi & Fantasy","After mysterious lights imbue her with extraordinary powers, a teenager goes on the run from authorities with the friend who harbors a crush on her."
80141781,Movie,Bibi & Tina: Tohuwabohu Total,Detlev Buck,"Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held, Lea van Acken, Emilio Sakraya, Michael Maertens, Martin Seifert",Germany,,2017-01-01,TV-14,106 min,"Children & Family Movies, Music & Musicals",Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.
81000505,Movie,Fireworks,"Akiyuki Shinbo, Nobuyuki Takeuchi","Yuki Kaji, Nobuo Tobita, Michiko Neya, Mitsuru Miyamoto, Fumihiko Tachiki, Shintaro Asanuma, Takahiro Sakurai, Kana Hanazawa, Toshiyuki Toyonaga, Suzu Hirose, Shinichiro Miki, Mamoru Miyano, Takako Matsu, Masaki Suda",Japan,,2017-01-01,TV-PG,91 min,"Anime Features, Romantic Movies","Middle schooler Nazuna desperately wants to run away with her classmate Norimichi, who somehow turns back time on this fateful summer's day."
80999643,Movie,Bad Seeds,Kheiron,"Kheiron, Catherine Deneuve, André Dussollier, Louison Blivet, Adil Dehbi, Hakou Benosmane, Youssouff Wague, Mahia Zrouki, Joseph Jovanovic","France, Belgium",,2018-01-01,TV-MA,105 min,"Comedies, Dramas, International Movies","Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students."
80163222,Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, Selah Victor, Ben Diskin, Erin Fitzgerald, Grant George","France, South Korea, Japan",,2016-01-01,TV-Y7,22 min,Movies,Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas.
80093295,Movie,3 Türken & ein Baby,Sinan Akkuş,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",Germany,,2015-01-01,NR,93 min,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
80144453,Movie,Goldstone,Ivan Sen,"Aaron Pedersen, Alex Russell, Jacki Weaver, Cheng Pei-pei, David Gulpilil, Michelle Lim Davidson, David Wenham, Tommy Lewis, Tommy Caldwell",Australia,,2016-01-01,R,110 min,Thrillers,"In the Australian outback, an Indigenous cop on a missing persons case unearths a trafficking ring and runs afoul of political-industrial interests."
18066997,Movie,A Night at the Roxbury,John Fortenberry,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman",United States,,1998-01-01,PG-13,82 min,"Comedies, Cult Movies","""After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a """"Saturday Night Live"""" sketch."""
873159,Movie,Primal Fear,Gregory Hoblit,"Richard Gere, Edward Norton, Laura Linney, John Mahoney, Alfre Woodard, Frances McDormand, Terry O'Quinn, Andre Braugher, Steven Bauer, Joe Spano, Kenneth Tigar, Tony Plana, Maura Tierney, Stanley Anderson",United States,,1996-01-01,R,131 min,"Dramas, Thrillers","When a blood-spattered altar boy is found running from a murder scene, his conviction seems certain – but his attorney is determined to win the case."
80127645,Movie,Once a Gangster,Felix Chong,"Ekin Cheng, Jordan Chan, Alex Fong, Michelle Ye, On-on Yu, Wilfred Lau, Conroy Chan",Hong Kong,,2010-01-01,TV-MA,95 min,"Action & Adventure, Comedies, International Movies","Two former triads are tapped to run in an election for leader of the underworld, but both want normal lives. Each must outwit the other to lose."
80018296,Movie,Yellowbird,Christian De Vita,"Dakota Fanning, Seth Green, Christine Baranski, Zachary Gordon, Richard Kind, Danny Glover, Elliott Gould, Ryan Lee, Jim Rash, Yvette Nicole Brown, Kostja Ullmann","France, Belgium",,2014-01-01,PG,90 min,"Children & Family Movies, Comedies","""An orphaned bird tags along with a flock on their long migration to Africa and becomes a hero when his newfound """"family"""" runs into trouble."""
80152442,Movie,Buster's Mal Heart,Sarah Adina Smith,"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter, Toby Huss, Lin Shaye, Mark Kelly, Bruce Bundy, Teresa Yenque, Sandra Ellis Lafferty, Nicholas Pryor",United States,,2016-01-01,TV-MA,98 min,"Independent Movies, Thrillers","On the run from authorities, a troubled man recalls the mysterious events – and the strange drifter – that inspired his unusual transformation."
